Machine_ID,Fail_possibility,Failure Type,failure_probability
L49796,66.5,No Failure,0.07
L49797,35.9,No Failure,0.06
M17478,48.6,No Failure,0.01
L49799,40.8,No Failure,0.11
L49800,35.7,No Failure,0.08
M17481,41.5,No Failure,0.1
M17482,30.3,No Failure,0.11
M17483,62.1,No Failure,0.05
H32038,46.8,No Failure,0.07
L49805,39.9,No Failure,0.07
L49806,29.8,No Failure,0.05
M17487,53.2,No Failure,0.06
H32042,51.2,No Failure,0.06
L49809,37.8,No Failure,0.01
L49810,39.6,No Failure,0.1
H32045,42.4,No Failure,0.01
M17492,28.6,No Failure,0.06
L49813,39.8,No Failure,0
L49814,32,No Failure,0.05
H32049,51,No Failure,0.61
L49816,61.3,No Failure,0.07
L49817,49.7,No Failure,0.06
L49818,27.5,No Failure,0.09
M17499,47.8,No Failure,0.05
M17500,56.2,No Failure,0.06
H32055,46.7,No Failure,0.05
L49822,40.3,No Failure,0.07
M17503,48.1,No Failure,0.1
L49824,42.5,No Failure,0.24
H32059,38.5,No Failure,0.16
M17506,43.2,No Failure,0.06
L49827,45.6,No Failure,0.06
L49828,51.6,No Failure,0.11
M17509,38.2,No Failure,0.2
L49830,59.3,No Failure,0.07
L49831,20.4,No Failure,0
L49832,23.5,No Failure,0.01
L49833,26.1,No Failure,0.02
L49834,35.5,No Failure,0.09
M17515,27,No Failure,0.05
L49836,51.3,No Failure,0.08
M17517,40.8,No Failure,0.09
L49838,44.5,No Failure,0.07
H32073,32.1,No Failure,0.06
L49840,56.4,No Failure,0.01
M17521,42.8,No Failure,0.05
M17522,38.1,No Failure,0.05
L49843,31.1,No Failure,0.05
M17524,42.2,No Failure,0.01
L49845,15.9,No Failure,0.19
H32080,27.7,No Failure,0.12
M17527,35.2,No Failure,0.1
M17528,31.1,No Failure,0.1
H32083,37.8,No Failure,0.01
L49850,46.2,No Failure,0.05
M17531,41.9,Tool Wear Failure,0.1
L49852,42.6,No Failure,0.01
L49853,40.9,No Failure,0.02
L49854,37.2,No Failure,0
L49855,35.8,No Failure,0.01
L49856,34.2,No Failure,0.06
L49857,39.6,No Failure,0.06
L49858,43.1,No Failure,0.06
L49859,44.4,No Failure,0.1
L49860,27.1,No Failure,0.1
L49861,32.2,No Failure,0.04
M17542,44.4,No Failure,0.01
L49863,28.5,No Failure,0.1
L49864,37.4,No Failure,0.03
L49865,32.5,No Failure,0.1
L49866,27.5,No Failure,0.36
L49867,52.8,No Failure,0.05
L49868,53.9,No Failure,0.14
L49869,30.1,No Failure,0.08
L49870,26,No Failure,0.07
L49871,47.7,No Failure,0.03
L49872,30.4,No Failure,0.1
M17553,36.1,No Failure,0.1
M17554,38,No Failure,0.05
L49875,22.7,No Failure,0.12
L49876,46,No Failure,0.05
L49877,28.7,No Failure,0.06
L49878,20,No Failure,0.1
L49879,60.9,No Failure,0.11
L49880,40.4,No Failure,0.06
L49881,50.8,No Failure,0.13
L49882,25.9,No Failure,0.08
M17563,58.2,No Failure,0.12
M17564,34.4,No Failure,0
L49885,64.8,No Failure,0.01
M17566,37.1,No Failure,0
M17567,36.1,No Failure,0.02
L49888,15.3,No Failure,0.1
L49889,35.8,No Failure,0.36
L49890,39.2,No Failure,0.05
L49891,50.6,No Failure,0.08
H32126,55.5,No Failure,0.14
M17573,30.8,No Failure,0.03
M17574,55.2,No Failure,0.04
M17575,28.6,No Failure,0.01
L49896,44.6,No Failure,0.06
M17577,45.3,No Failure,0.08
L49898,47.3,No Failure,0.21
L49899,29.2,No Failure,0.13
L49900,39.1,No Failure,0.06
M17581,32.4,No Failure,0.09
L49902,34.8,No Failure,0.1
L49903,51.9,No Failure,0.09
M17584,42.7,No Failure,0.08
L49905,34.8,No Failure,0.14
M17586,42.9,No Failure,0.05
L49907,38.5,No Failure,0
L49908,25.5,No Failure,0.11
L49909,54.6,No Failure,0.07
L49910,45.9,No Failure,0.06
M17591,32.9,No Failure,0.54
L49912,57.4,No Failure,0.14
L49913,40.4,No Failure,0.11
H32148,32.8,No Failure,0.05
L49915,45.4,No Failure,0.19
M17596,36.4,No Failure,0.09
M17597,41.2,No Failure,0.11
M17598,44.4,No Failure,0.07
L49919,35.4,No Failure,0.07
L49920,42.8,No Failure,0.11
L49921,51.9,No Failure,0.1
L49922,51.4,No Failure,0.01
L49923,45.3,No Failure,0.06
L49924,30,No Failure,0.08
M17605,38.5,No Failure,0.12
L49926,46.1,No Failure,0.05
L49927,31.6,No Failure,0.06
L49928,35.1,No Failure,0.18
M17609,28.9,No Failure,0.03
H32164,40.6,No Failure,0.05
L49931,50.1,No Failure,0.13
M17612,24.7,No Failure,0.07
L49933,27.8,No Failure,0.12
H32168,32.3,No Failure,0.06
L49935,38.8,No Failure,0.1
L49936,29.6,No Failure,0.07
L49937,36.1,No Failure,0.06
M17618,45.3,No Failure,0.11
L49939,41.1,No Failure,0.09
L49940,42.6,No Failure,0.08
L49941,65.1,Overstrain Failure,0.05
L49942,44.4,No Failure,0.07
L49943,47.5,No Failure,0
M17624,52.8,No Failure,0.1
M17625,54.8,No Failure,0.09
M17626,26,No Failure,0.1
L49947,21.9,No Failure,0.14
L49948,30.2,No Failure,0.06
M17629,38.1,No Failure,0.06
L49950,45.9,No Failure,0.06
L49951,39.4,No Failure,0.04
L49952,41.2,No Failure,0.01
L49953,22.5,No Failure,0.12
L49954,39.7,No Failure,0.06
L49955,47.7,No Failure,0.13
L49956,47.6,No Failure,0.05
L49957,41.7,No Failure,0.05
L49958,50.2,No Failure,0.03
L49959,50.9,No Failure,0.13
M17640,35.8,No Failure,0.01
L49961,17.8,No Failure,0.09
M17642,41.8,No Failure,0.08
M17643,35.1,No Failure,0.05
L49964,52.7,No Failure,0.08
L49965,32.6,No Failure,0.03
M17646,28.3,No Failure,0.02
M17647,38.4,No Failure,0.15
L49968,52.4,No Failure,0.14
H32203,44,No Failure,0.07
L49970,45.9,No Failure,0.02
H32205,43.3,No Failure,0.04
L49972,32.6,No Failure,0.08
L49973,31.8,No Failure,0.06
L49974,43.9,No Failure,0.05
M17655,49.4,No Failure,0
L49976,35.3,No Failure,0.01
M17657,53.7,No Failure,0.09
L49978,39.6,No Failure,0
L49979,44.6,No Failure,0.01
M17660,45.7,No Failure,0.09
M17661,28.8,No Failure,0.06
M17662,46.6,No Failure,0.04
L49983,50.2,No Failure,0.05
L49984,40.1,No Failure,0
L49985,43.5,No Failure,0.03
L49986,41.2,No Failure,0.01
M17667,41.9,No Failure,0.05
L49988,41.8,No Failure,0.07
L49989,34.6,No Failure,0.05
L49990,24.8,No Failure,0.08
L49991,25.6,No Failure,0.06
M17672,40.7,No Failure,0
L49993,22.6,No Failure,0.03
L49994,56.5,No Failure,0.08
M17675,31.6,No Failure,0.01
L49996,47.3,No Failure,0.09
L49997,41.1,No Failure,0.08
L49998,28.4,No Failure,0.09
L49999,51.1,No Failure,0.06
L50000,48.8,No Failure,0.08
M17681,42.5,No Failure,0.06
L50002,38.1,No Failure,0.01
M17683,62.2,No Failure,0.02
M17684,42.4,No Failure,0.1
L50005,33.5,No Failure,0.07
M17686,33.1,No Failure,0.01
L50007,51.6,No Failure,0.1
M17688,23.9,No Failure,0.08
L50009,36,No Failure,0
M17690,41.6,No Failure,0.1
M17691,47.9,No Failure,0.05
M17692,40.3,No Failure,0.05
L50013,26.4,No Failure,0.1
L50014,46,No Failure,0.03
L50015,32,No Failure,0.1
M17696,44.3,No Failure,0.05
L50017,30.3,No Failure,0.02
L50018,39.5,No Failure,0.07
M17699,42.1,No Failure,0.05
H32254,38.9,No Failure,0.05
L50021,29.4,No Failure,0.06
L50022,53.5,No Failure,0.09
L50023,40.2,No Failure,0.01
L50024,35.2,No Failure,0.13
L50025,54.4,No Failure,0.18
L50026,44.8,No Failure,0.06
L50027,39.6,No Failure,0.01
M17708,57.9,No Failure,0.08
L50029,28.2,No Failure,0.05
L50030,35,No Failure,0.04
L50031,48.8,No Failure,0.01
M17712,50.1,No Failure,0.07
M17713,39.1,No Failure,0.05
L50034,40.8,No Failure,0.09
L50035,37,No Failure,0.03
H32270,45.2,No Failure,0
M17717,37.2,No Failure,0.03
L50038,51.5,Overstrain Failure,0.03
L50039,43.4,No Failure,0.02
H32274,49.2,No Failure,0.05
L50041,43.6,No Failure,0.06
L50042,23,No Failure,0.06
L50043,44.1,No Failure,0.09
H32278,47.6,Tool Wear Failure,0.14
H32279,32.7,No Failure,0.05
L50046,20.7,No Failure,0.04
H32281,48.5,No Failure,0.09
L50048,46.6,No Failure,0.04
L50049,35.8,No Failure,0.07
M17730,39.7,No Failure,0.02
M17731,37.2,No Failure,0.05
L50052,28.7,No Failure,0.02
H32287,37.9,No Failure,0.09
L50054,49.6,No Failure,0.06
M17735,23.8,No Failure,0.11
M17736,30.5,No Failure,0.02
M17737,32.1,No Failure,0.07
H32292,34.3,No Failure,0.05
M17739,63.2,Power Failure,0.02
L50060,37.2,No Failure,0.01
M17741,37,No Failure,0.09
L50062,32.8,No Failure,0
L50063,40,No Failure,0.01
L50064,42.4,No Failure,0.01
M17745,49.9,No Failure,0.06
H32300,34.2,No Failure,0.19
M17747,27.6,No Failure,0
M17748,50,No Failure,0.02
M17749,38.2,No Failure,0.1
L50070,32.4,No Failure,0.05
L50071,30.7,No Failure,0.17
L50072,54.3,No Failure,0.05
M17753,35.2,No Failure,0.05
L50074,24.8,No Failure,0.06
M17755,48.1,No Failure,0.07
M17756,31.3,No Failure,0.03
M17757,40.2,No Failure,0.05
M17758,40.2,No Failure,0.07
L50079,40.6,No Failure,0.11
L50080,33.5,No Failure,0.14
L50081,40.3,No Failure,0.16
M17762,35.2,No Failure,0.15
M17763,26.7,No Failure,0.05
L50084,13.5,No Failure,0.02
L50085,36.4,No Failure,0.06
L50086,38.7,No Failure,0
M17767,35.7,No Failure,0.05
L50088,59.9,No Failure,0.07
L50089,44.1,No Failure,0.02
L50090,38.8,No Failure,0.05
M17771,44,No Failure,0.09
L50092,30.3,No Failure,0.06
L50093,34.6,No Failure,0.02
H32328,20.5,No Failure,0.01
L50095,62.1,No Failure,0.09
L50096,41.6,No Failure,0.05
L50097,39,No Failure,0.03
M17778,34,No Failure,0.12
L50099,30,No Failure,0.06
L50100,33.7,No Failure,0.06
L50101,31.1,No Failure,0.13
L50102,38.1,No Failure,0.05
M17783,51.3,No Failure,0.01
L50104,44.3,No Failure,0.07
M17785,51.1,No Failure,0.06
L50106,52.4,No Failure,0.05
M17787,49.8,No Failure,0.09
M17788,54.9,No Failure,0.1
M17789,39,No Failure,0.16
H32344,51.3,No Failure,0.05
L50111,45.4,No Failure,0.09
L50112,42.1,No Failure,0.04
M17793,27.9,No Failure,0.08
M17794,42.3,No Failure,0.09
M17795,28.2,No Failure,0.06
M17796,48.8,No Failure,0.05
L50117,26,No Failure,0.01
L50118,34.5,No Failure,0
L50119,41.4,No Failure,0.01
L50120,14.4,No Failure,0.01
M17801,19.8,Tool Wear Failure,0.06
L50122,49.9,No Failure,0.05
H32357,19.7,No Failure,0.06
L50124,34.9,No Failure,0.17
H32359,20.5,No Failure,0.05
M17806,30.5,No Failure,0.06
L50127,29,No Failure,0.07
L50128,24.5,No Failure,0.05
M17809,48.7,No Failure,0.02
M17810,46.4,No Failure,0.11
L50131,31.1,No Failure,0.09
H32366,30.5,No Failure,0.05
L50133,35.4,No Failure,0.12
H32368,28,No Failure,0.01
M17815,43.8,No Failure,0
M17816,38.7,No Failure,0
L50137,45.8,No Failure,0.02
M17818,44.5,No Failure,0.05
M17819,35,No Failure,0.07
L50140,44.3,No Failure,0.07
L50141,32.8,No Failure,0.1
L50142,39.9,No Failure,0.02
M17823,43,No Failure,0.13
L50144,30.3,No Failure,0.02
M17825,24.9,No Failure,0.04
L50146,40.2,No Failure,0.06
L50147,51.6,No Failure,0.06
M17828,45.2,No Failure,0.06
L50149,44.1,No Failure,0.1
M17830,39.4,No Failure,0.09
M17831,43.9,No Failure,0.01
M17832,44.2,No Failure,0.06
M17833,46,No Failure,0.02
M17834,37.2,No Failure,0.05
H32389,46.2,No Failure,0.04
M17836,25.5,No Failure,0.04
L50157,50.3,No Failure,0.02
H32392,36.2,No Failure,0.11
L50159,38.5,No Failure,0.11
L50160,39.3,No Failure,0.12
H32395,40.4,No Failure,0.03
L50162,27.7,No Failure,0.04
L50163,57.4,No Failure,0.06
L50164,30.4,No Failure,0.02
L50165,31.5,No Failure,0.09
L50166,48,No Failure,0.08
M17847,28.9,No Failure,0.12
M17848,42.5,No Failure,0.02
L50169,42.4,No Failure,0.03
L50170,28.6,No Failure,0.13
M17851,50.9,No Failure,0.06
M17852,29.4,No Failure,0.04
M17853,55.9,No Failure,0.04
L50174,52.5,No Failure,0.06
L50175,37.4,No Failure,0.05
M17856,37.8,No Failure,0.01
L50177,62.7,No Failure,0.05
L50178,34.5,No Failure,0.05
L50179,61,No Failure,0.02
H32414,72.8,Power Failure,0.07
L50181,43.9,No Failure,0.09
M17862,38.9,No Failure,0.06
M17863,42.4,No Failure,0.04
M17864,53.2,No Failure,0.1
L50185,37.4,No Failure,0.09
L50186,35.7,No Failure,0.02
L50187,50.2,No Failure,0.11
M17868,38,No Failure,0.02
M17869,39.8,No Failure,0.02
L50190,37.1,No Failure,0.05
M17871,51.5,No Failure,0.09
L50192,44.7,No Failure,0.13
L50193,48.4,No Failure,0.04
L50194,42.8,No Failure,0.06
L50195,30.5,No Failure,0.04
L50196,48.8,No Failure,0.1
L50197,51.7,No Failure,0.03
M17878,35.9,No Failure,0.06
L50199,54.2,Overstrain Failure,0.05
L50200,38.1,No Failure,0
L50201,49.6,No Failure,0.04
L50202,30.6,No Failure,0.02
L50203,29.2,No Failure,0.06
L50204,41.6,No Failure,0.07
L50205,50.2,No Failure,0
M17886,21.9,No Failure,0.05
L50207,23.6,No Failure,0.14
L50208,55.6,No Failure,0.11
L50209,51.3,No Failure,0.16
M17890,34,No Failure,0.07
M17891,43.3,No Failure,0.04
M17892,42.9,No Failure,0.01
M17893,22.8,No Failure,0.05
H32448,43.8,No Failure,0.08
M17895,42.6,No Failure,0.11
L50216,48.1,No Failure,0.08
L50217,24.3,No Failure,0.05
L50218,50.4,No Failure,0.07
M17899,31.4,No Failure,0.05
L50220,38.7,No Failure,0.02
L50221,38.9,No Failure,0.09
M17902,43.9,No Failure,0.14
L50223,37.9,No Failure,0.09
L50224,21.4,No Failure,0.01
L50225,35.3,No Failure,0.04
M17906,40,No Failure,0.05
L50227,38.3,No Failure,0.11
L50228,43.2,No Failure,0.12
L50229,55.9,No Failure,0.01
L50230,51.3,No Failure,0
L50231,49.3,No Failure,0.04
L50232,42.5,No Failure,0.02
H32467,35.6,No Failure,0.1
H32468,48.7,No Failure,0.06
L50235,37.6,No Failure,0.09
L50236,29.9,No Failure,0.08
L50237,46.7,No Failure,0.26
L50238,32.1,No Failure,0.04
M17919,45.8,No Failure,0.04
L50240,23.8,No Failure,0.08
L50241,58.7,No Failure,0.02
L50242,40,No Failure,0.09
L50243,45.4,No Failure,0.06
M17924,30.4,No Failure,0
M17925,27.7,Random Failures,0.02
M17926,44.3,No Failure,0
L50247,37,No Failure,0.02
H32482,31.8,No Failure,0.01
L50249,28.2,No Failure,0.14
L50250,28.3,No Failure,0.07
L50251,16.9,No Failure,0.08
L50252,58.2,No Failure,0.04
L50253,46.9,No Failure,0.12
L50254,27.3,No Failure,0.02
M17935,46.1,No Failure,0.03
L50256,43.6,No Failure,0.14
L50257,23,No Failure,0.03
M17938,56.2,No Failure,0.1
L50259,56,No Failure,0.01
M17940,43.2,No Failure,0.16
M17941,21.8,No Failure,0.04
M17942,43.9,No Failure,0.01
L50263,28.5,No Failure,0.05
H32498,55.2,No Failure,0
L50265,42.9,No Failure,0.01
L50266,32.1,No Failure,0.04
M17947,45.2,No Failure,0.02
M17948,30.8,No Failure,0.08
H32503,38.2,No Failure,0.16
H32504,45.8,No Failure,0
L50271,29.7,No Failure,0.09
M17952,16.3,No Failure,0.07
L50273,51.2,No Failure,0.04
L50274,22,No Failure,0.06
M17955,36.5,No Failure,0.1
L50276,38.9,No Failure,0.41
M17957,49.8,No Failure,0.1
M17958,51.2,No Failure,0.05
M17959,43.8,No Failure,0.07
L50280,42.1,No Failure,0.05
H32515,37.3,No Failure,0.02
L50282,48.3,No Failure,0.08
L50283,30.3,No Failure,0.14
M17964,29.8,No Failure,0.01
L50285,35.4,No Failure,0.07
L50286,39.9,No Failure,0.08
M17967,39.4,No Failure,0.05
L50288,38.7,No Failure,0.01
L50289,44.3,No Failure,0.04
H32524,33.2,No Failure,0.06
L50291,27.9,No Failure,0.07
M17972,56.7,No Failure,0.06
M17973,56.8,No Failure,0.01
M17974,30.5,No Failure,0.03
L50295,34.8,No Failure,0.04
L50296,34.4,No Failure,0.05
M17977,43.9,No Failure,0.15
M17978,46.9,No Failure,0.01
L50299,23.6,No Failure,0.08
H32534,40.8,No Failure,0.09
L50301,17.9,No Failure,0.6
L50302,46,No Failure,0.04
H32537,38.5,No Failure,0.12
L50304,39.7,No Failure,0.05
L50305,27.4,No Failure,0.07
L50306,35.7,No Failure,0.09
L50307,28.3,No Failure,0
M17988,42.8,No Failure,0.1
L50309,34.5,No Failure,0.06
L50310,25.4,No Failure,0
L50311,32.7,No Failure,0.03
L50312,40.6,No Failure,0.09
H32547,49.2,No Failure,0.05
L50314,51.5,No Failure,0.44
L50315,52.5,No Failure,0.01
L50316,54.8,No Failure,0.05
L50317,36.5,No Failure,0.08
L50318,43.5,No Failure,0.15
H32553,38.7,No Failure,0.13
H32554,12.8,Power Failure,0.08
L50321,45.1,No Failure,0.12
L50322,34.7,No Failure,0.02
H32557,42.4,No Failure,0.05
M18004,36.3,No Failure,0.09
M18005,43.5,No Failure,0.07
M18006,26.5,No Failure,0.09
M18007,42.8,No Failure,0.05
H32562,39.7,No Failure,0.06
H32563,35.2,No Failure,0.1
L50330,32.9,No Failure,0.02
L50331,43.8,No Failure,0.08
M18012,42.3,No Failure,0.07
M18013,49.3,No Failure,0.03
L50334,42.5,No Failure,0.09
L50335,54,No Failure,0.05
L50336,36.9,No Failure,0.01
M18017,42.2,No Failure,0.05
L50338,30.1,No Failure,0.02
H32573,47.5,No Failure,0.01
M18020,51.2,No Failure,0.06
L50341,63.1,No Failure,0.01
L50342,40,No Failure,0.04
L50343,38.9,No Failure,0.07
L50344,31.3,No Failure,0.06
L50345,34.5,No Failure,0.14
M18026,37.7,No Failure,0.01
L50347,45.1,No Failure,0.1
M18028,30.3,No Failure,0.01
M18029,35.5,No Failure,0.05
M18030,32.3,No Failure,0.11
L50351,56.9,No Failure,0.08
M18032,41.3,No Failure,0.1
L50353,32.6,No Failure,0.14
L50354,34.6,No Failure,0.01
L50355,44.7,No Failure,0.01
L50356,45.4,No Failure,0.05
M18037,33.4,No Failure,0.05
M18038,53.6,No Failure,0.06
L50359,36.8,No Failure,0.05
M18040,48.8,No Failure,0.08
L50361,37,No Failure,0.1
M18042,50.3,No Failure,0.04
L50363,32,No Failure,0.06
L50364,31,No Failure,0.09
L50365,27.1,No Failure,0.04
M18046,48.8,No Failure,0.44
M18047,27.8,No Failure,0.06
M18048,51,No Failure,0.15
L50369,33.7,No Failure,0.07
L50370,30.1,No Failure,0.03
M18051,33.7,No Failure,0.04
M18052,39.8,No Failure,0.04
L50373,44.5,No Failure,0.06
L50374,51.7,No Failure,0
M18055,32.4,No Failure,0.09
L50376,40.3,No Failure,0.1
L50377,40.6,No Failure,0.01
M18058,45.7,No Failure,0.09
H32613,35.4,No Failure,0.1
M18060,44.4,No Failure,0.09
L50381,47,No Failure,0
L50382,43.4,No Failure,0.07
M18063,38,No Failure,0.01
L50384,54.8,No Failure,0.01
M18065,38.4,No Failure,0.04
M18066,33,No Failure,0.05
M18067,31.2,No Failure,0.06
M18068,42.2,No Failure,0.05
L50389,31.4,No Failure,0
M18070,47.6,No Failure,0.09
L50391,51.4,No Failure,0.04
L50392,32.4,No Failure,0.1
L50393,29,No Failure,0.03
H32628,51.2,No Failure,0.14
M18075,16.3,No Failure,0.01
L50396,27.6,No Failure,0.06
L50397,21.4,No Failure,0.06
L50398,53.6,No Failure,0
M18079,38.4,No Failure,0.05
M18080,36.5,No Failure,0.06
L50401,49.1,No Failure,0
M18082,44.7,No Failure,0.06
H32637,36.5,No Failure,0.05
M18084,33.8,No Failure,0.08
L50405,40.7,No Failure,0.04
L50406,46,No Failure,0.04
M18087,34.9,No Failure,0.05
L50408,46.8,No Failure,0.34
L50409,43.2,No Failure,0.04
L50410,36,No Failure,0.05
L50411,45.3,No Failure,0.06
L50412,38.3,No Failure,0.11
H32647,40.7,No Failure,0.07
L50414,38.4,No Failure,0.04
L50415,20.5,No Failure,0.02
M18096,62.4,Heat Dissipation Failure,0
M18097,26.8,No Failure,0
M18098,25.6,No Failure,0.03
L50419,48.5,No Failure,0.03
L50420,35.2,No Failure,0.04
H32655,43.4,No Failure,0.06
L50422,42.4,No Failure,0.09
L50423,28.1,No Failure,0.04
M18104,48,No Failure,0.04
M18105,32.7,No Failure,0.09
L50426,42,No Failure,0.02
M18107,31.1,No Failure,0.05
M18108,39.3,No Failure,0.01
L50429,38.9,No Failure,0.02
H32664,27,No Failure,0.06
L50431,36.1,No Failure,0.08
L50432,30.8,No Failure,0.06
L50433,48.9,No Failure,0.08
M18114,58.4,No Failure,0.09
L50435,42.9,No Failure,0.01
L50436,39.6,No Failure,0.06
L50437,19.7,No Failure,0.02
L50438,32.9,No Failure,0.03
M18119,31.6,No Failure,0.02
M18120,17.8,No Failure,0.09
H32675,39.7,No Failure,0.04
L50442,36.3,No Failure,0.04
L50443,54.8,No Failure,0.08
H32678,44.1,No Failure,0.04
L50445,53.6,No Failure,0.06
L50446,56.8,Overstrain Failure,0.01
L50447,41.5,No Failure,0.08
M18128,37.8,No Failure,0.14
M18129,32.4,No Failure,0.04
L50450,21.8,No Failure,0.08
M18131,32.1,No Failure,0
M18132,30.8,No Failure,0.02
M18133,36,No Failure,0.11
L50454,31.4,No Failure,0
H32689,36.3,No Failure,0
L50456,40.9,No Failure,0.07
L50457,41.6,No Failure,0
L50458,40.8,No Failure,0
L50459,52.4,No Failure,0
M18140,50.8,No Failure,0
M18141,45.6,No Failure,0.04
L50462,40.9,No Failure,0
L50463,45.5,No Failure,0.04
H32698,50.7,No Failure,0.05
L50465,29.7,No Failure,0.57
L50466,37.6,No Failure,0.11
M18147,32.6,No Failure,0.11
L50468,31,No Failure,0.02
M18149,56.6,No Failure,0.01
L50470,42.3,No Failure,0.05
M18151,45.5,No Failure,0.05
L50472,44.3,No Failure,0.01
M18153,54.5,No Failure,0.08
L50474,34.1,No Failure,0.01
L50475,43.4,No Failure,0.05
M18156,43.2,No Failure,0.05
L50477,38.6,No Failure,0.05
L50478,38.1,No Failure,0.04
L50479,45.8,No Failure,0.01
H32714,38.4,No Failure,0.08
L50481,47.7,No Failure,0.03
L50482,48.6,No Failure,0
L50483,49.9,No Failure,0.07
L50484,45.7,No Failure,0.05
M18165,48.3,No Failure,0.04
L50486,54.3,No Failure,0.03
M18167,39.9,No Failure,0.06
L50488,43.4,No Failure,0.03
L50489,50.1,No Failure,0.04
L50490,46.7,No Failure,0.04
L50491,44.7,No Failure,0.15
L50492,28.9,No Failure,0.05
L50493,31.9,No Failure,0.03
L50494,43.5,No Failure,0.05
M18175,43,No Failure,0.05
M18176,60.6,No Failure,0.06
L50497,28.7,No Failure,0.01
L50498,49.7,No Failure,0.01
L50499,30.6,No Failure,0.04
L50500,16.4,No Failure,0.01
L50501,41,No Failure,0.01
L50502,52.9,No Failure,0.02
L50503,36.7,No Failure,0.06
L50504,34.1,No Failure,0.06
L50505,33.7,No Failure,0.01
L50506,20.2,No Failure,0
M18187,14.2,No Failure,0.05
L50508,43.9,No Failure,0.01
L50509,29.7,No Failure,0.06
L50510,50.7,No Failure,0.08
L50511,44.5,No Failure,0.06
M18192,31.6,No Failure,0.06
M18193,49.5,No Failure,0.02
M18194,34.2,No Failure,0.01
L50515,31.2,No Failure,0.06
L50516,35.4,No Failure,0.01
L50517,34.1,No Failure,0.08
M18198,40.9,No Failure,0.02
L50519,45.2,No Failure,0.08
M18200,44.1,No Failure,0.02
H32755,52,No Failure,0
L50522,52.4,No Failure,0.06
M18203,36.4,No Failure,0.08
L50524,27.9,No Failure,0.05
L50525,34.1,No Failure,0.05
L50526,24.3,No Failure,0.07
L50527,41.8,No Failure,0.04
M18208,40.7,No Failure,0.08
L50529,27.8,No Failure,0.05
L50530,62.6,Overstrain Failure,0.09
L50531,31.4,No Failure,0.1
L50532,34.6,No Failure,0.04
L50533,31.6,No Failure,0.29
L50534,40.2,No Failure,0.08
L50535,49,No Failure,0.14
L50536,57.8,Overstrain Failure,0.08
H32771,51.7,No Failure,0
L50538,36.6,No Failure,0.08
L50539,41.9,No Failure,0.05
L50540,46.5,No Failure,0.01
L50541,40.7,No Failure,0.02
L50542,43.9,No Failure,0.06
L50543,43.3,No Failure,0.08
L50544,39.5,No Failure,0.04
M18225,30.3,No Failure,0.04
M18226,32.3,No Failure,0.04
H32781,26.2,No Failure,0.05
L50548,58.5,No Failure,0.11
L50549,8,Power Failure,0.06
L50550,32.2,No Failure,0.04
L50551,21.8,No Failure,0.04
L50552,44.3,No Failure,0
L50553,35.2,No Failure,0.07
L50554,50.6,No Failure,0.05
M18235,46.9,No Failure,0.06
M18236,47.5,No Failure,0.1
H32791,29.6,No Failure,0.08
L50558,33.1,No Failure,0.06
M18239,37.7,No Failure,0.09
L50560,36.3,No Failure,0
L50561,47.6,No Failure,0.02
L50562,38.5,No Failure,0.06
H32797,33.6,No Failure,0.08
L50564,40.7,No Failure,0.11
L50565,43.6,No Failure,0.07
H32800,38.7,No Failure,0.07
M18247,65.3,No Failure,0
M18248,48,No Failure,0.03
M18249,53.2,No Failure,0.04
H32804,40.4,No Failure,0.1
L50571,47.3,No Failure,0.04
L50572,47.3,No Failure,0.04
L50573,48.1,No Failure,0.02
L50574,42.3,No Failure,0.03
L50575,33.3,No Failure,0.06
M18256,35,No Failure,0.1
L50577,30.7,No Failure,0.04
L50578,30.7,No Failure,0.09
L50579,34.2,No Failure,0.04
H32814,44.4,No Failure,0.08
M18261,34.3,No Failure,0
L50582,53.3,No Failure,0.14
L50583,52.7,No Failure,0.01
L50584,30.9,No Failure,0.07
M18265,32.5,No Failure,0.06
L50586,44,No Failure,0.02
L50587,49.8,No Failure,0.02
M18268,41.6,No Failure,0.01
M18269,30,No Failure,0.04
L50590,39.7,No Failure,0.04
L50591,55.7,No Failure,0.04
L50592,55.6,No Failure,0.01
L50593,36.3,No Failure,0.01
L50594,41.2,No Failure,0.05
L50595,36.9,No Failure,0.02
L50596,44.6,No Failure,0
L50597,33.7,No Failure,0.04
H32832,40.4,No Failure,0.07
L50599,33.8,No Failure,0.03
L50600,23.5,No Failure,0.23
M18281,29.8,No Failure,0.03
L50602,34.1,No Failure,0.05
L50603,35.2,No Failure,0.05
L50604,32.9,No Failure,0.04
M18285,33.5,No Failure,0.07
L50606,48.7,No Failure,0.08
L50607,34.4,No Failure,0.04
L50608,49.4,No Failure,0.08
H32843,34.3,No Failure,0.1
H32844,26.2,No Failure,0.09
L50611,43.6,No Failure,0.09
M18292,20.7,No Failure,0.01
M18293,23.6,No Failure,0.07
M18294,44.1,No Failure,0.07
L50615,54.9,No Failure,0
L50616,48.1,No Failure,0.1
L50617,15.8,No Failure,0.06
L50618,37.5,No Failure,0.07
L50619,41.4,No Failure,0.04
L50620,41.5,No Failure,0.07
L50621,39.4,No Failure,0.06
M18302,52.5,No Failure,0.05
L50623,39,No Failure,0.04
L50624,50.7,No Failure,0.04
M18305,36.1,No Failure,0.04
H32860,49.5,No Failure,0.1
L50627,34.5,No Failure,0.01
L50628,36.6,No Failure,0.01
